date,total_cases,new_cases,location,total_deaths,new_deaths,total_vaccinations,new_vaccinations,stringency_index,population
2020-01-31,2,2,United Kingdom,,,,,8.33,68207114
2020-02-01,2,0,United Kingdom,,,,,8.33,68207114
2020-02-02,2,0,United Kingdom,,,,,11.11,68207114
2020-02-03,8,6,United Kingdom,,,,,11.11,68207114
2020-02-04,8,0,United Kingdom,,,,,11.11,68207114
2020-02-05,9,1,United Kingdom,,,,,11.11,68207114
2020-02-06,9,0,United Kingdom,,,,,11.11,68207114
2020-02-07,9,0,United Kingdom,,,,,11.11,68207114
2020-02-08,13,4,United Kingdom,,,,,11.11,68207114
2020-02-09,14,1,United Kingdom,,,,,11.11,68207114
2020-02-10,14,0,United Kingdom,,,,,11.11,68207114
2020-02-11,15,1,United Kingdom,,,,,11.11,68207114
2020-02-12,16,1,United Kingdom,,,,,11.11,68207114
2020-02-13,17,1,United Kingdom,,,,,11.11,68207114
2020-02-14,18,1,United Kingdom,,,,,11.11,68207114
2020-02-15,18,0,United Kingdom,,,,,11.11,68207114
2020-02-16,18,0,United Kingdom,,,,,11.11,68207114
2020-02-17,19,1,United Kingdom,,,,,11.11,68207114
2020-02-18,19,0,United Kingdom,,,,,11.11,68207114
2020-02-19,20,1,United Kingdom,,,,,11.11,68207114
2020-02-20,22,2,United Kingdom,,,,,11.11,68207114
2020-02-21,23,1,United Kingdom,,,,,11.11,68207114
2020-02-22,23,0,United Kingdom,,,,,11.11,68207114
2020-02-23,28,5,United Kingdom,,,,,11.11,68207114
2020-02-24,30,2,United Kingdom,,,,,11.11,68207114
2020-02-25,34,4,United Kingdom,,,,,11.11,68207114
2020-02-26,37,3,United Kingdom,,,,,11.11,68207114
2020-02-27,44,7,United Kingdom,,,,,11.11,68207114
2020-02-28,56,12,United Kingdom,,,,,11.11,68207114
2020-02-29,61,5,United Kingdom,,,,,11.11,68207114
2020-03-01,94,33,United Kingdom,,,,,11.11,68207114
2020-03-02,134,40,United Kingdom,,,,,11.11,68207114
2020-03-03,189,55,United Kingdom,,,,,11.11,68207114
2020-03-04,246,57,United Kingdom,,,,,11.11,68207114
2020-03-05,295,49,United Kingdom,,,,,11.11,68207114
2020-03-06,374,79,United Kingdom,1.0,1.0,,,11.11,68207114
2020-03-07,429,55,United Kingdom,2.0,1.0,,,11.11,68207114
2020-03-08,483,54,United Kingdom,2.0,0.0,,,11.11,68207114
2020-03-09,630,147,United Kingdom,3.0,1.0,,,11.11,68207114
2020-03-10,889,259,United Kingdom,7.0,4.0,,,11.11,68207114
2020-03-11,1301,412,United Kingdom,7.0,0.0,,,11.11,68207114
2020-03-12,1790,489,United Kingdom,9.0,2.0,,,11.11,68207114
2020-03-13,2270,480,United Kingdom,10.0,1.0,,,12.96,68207114
2020-03-14,2634,364,United Kingdom,29.0,19.0,,,12.96,68207114
2020-03-15,3077,443,United Kingdom,43.0,14.0,,,12.96,68207114
2020-03-16,3692,615,United Kingdom,66.0,23.0,,,16.67,68207114
2020-03-17,4462,770,United Kingdom,83.0,17.0,,,22.22,68207114
2020-03-18,5468,1006,United Kingdom,118.0,35.0,,,31.48,68207114
2020-03-19,6534,1066,United Kingdom,164.0,46.0,,,31.48,68207114
2020-03-20,7792,1258,United Kingdom,196.0,32.0,,,37.04,68207114
2020-03-21,9007,1215,United Kingdom,254.0,58.0,,,47.22,68207114
2020-03-22,10395,1388,United Kingdom,289.0,35.0,,,62.04,68207114
2020-03-23,12744,2349,United Kingdom,365.0,76.0,,,78.24,68207114
2020-03-24,15126,2382,United Kingdom,513.0,148.0,,,79.63,68207114
2020-03-25,17843,2717,United Kingdom,704.0,191.0,,,79.63,68207114
2020-03-26,20970,3127,United Kingdom,886.0,182.0,,,79.63,68207114
2020-03-27,24219,3249,United Kingdom,1174.0,288.0,,,79.63,68207114
2020-03-28,27062,2843,United Kingdom,1466.0,292.0,,,79.63,68207114
2020-03-29,29954,2892,United Kingdom,1679.0,213.0,,,79.63,68207114
2020-03-30,34281,4327,United Kingdom,2053.0,374.0,,,79.63,68207114
2020-03-31,38815,4534,United Kingdom,2457.0,404.0,,,79.63,68207114
2020-04-01,43789,4974,United Kingdom,3130.0,673.0,,,79.63,68207114
2020-04-02,48718,4929,United Kingdom,3787.0,657.0,,,79.63,68207114
2020-04-03,53699,4981,United Kingdom,4524.0,737.0,,,79.63,68207114
2020-04-04,57772,4073,United Kingdom,5281.0,757.0,,,79.63,68207114
2020-04-05,61422,3650,United Kingdom,5882.0,601.0,,,79.63,68207114
2020-04-06,66738,5316,United Kingdom,6452.0,570.0,,,79.63,68207114
2020-04-07,72224,5486,United Kingdom,7557.0,1105.0,,,79.63,68207114
2020-04-08,77387,5163,United Kingdom,8589.0,1032.0,,,79.63,68207114
2020-04-09,82293,4906,United Kingdom,9706.0,1117.0,,,79.63,68207114
2020-04-10,86660,4367,United Kingdom,10829.0,1123.0,,,79.63,68207114
2020-04-11,90273,3613,United Kingdom,11673.0,844.0,,,79.63,68207114
2020-04-12,93812,3539,United Kingdom,12330.0,657.0,,,79.63,68207114
2020-04-13,98017,4205,United Kingdom,13055.0,725.0,,,79.63,68207114
2020-04-14,102365,4348,United Kingdom,14135.0,1080.0,,,79.63,68207114
2020-04-15,107465,5100,United Kingdom,15019.0,884.0,,,79.63,68207114
2020-04-16,112808,5343,United Kingdom,16059.0,1040.0,,,79.63,68207114
2020-04-17,117798,4990,United Kingdom,16973.0,914.0,,,79.63,68207114
2020-04-18,122534,4736,United Kingdom,18081.0,1108.0,,,79.63,68207114
2020-04-19,126394,3860,United Kingdom,18514.0,433.0,,,79.63,68207114
2020-04-20,131260,4866,United Kingdom,19090.0,576.0,,,79.63,68207114
2020-04-21,136035,4775,United Kingdom,20314.0,1224.0,,,79.63,68207114
2020-04-22,141540,5505,United Kingdom,21171.0,857.0,,,79.63,68207114
2020-04-23,146708,5168,United Kingdom,21855.0,684.0,,,79.63,68207114
2020-04-24,151689,4981,United Kingdom,22873.0,1018.0,,,79.63,68207114
2020-04-25,155453,3764,United Kingdom,23689.0,816.0,,,79.63,68207114
2020-04-26,158926,3473,United Kingdom,24053.0,364.0,,,79.63,68207114
2020-04-27,163630,4704,United Kingdom,24376.0,323.0,,,79.63,68207114
2020-04-28,168357,4727,United Kingdom,25347.0,971.0,,,79.63,68207114
2020-04-29,173807,5450,United Kingdom,26118.0,771.0,,,79.63,68207114
2020-04-30,178771,4964,United Kingdom,26754.0,636.0,,,79.63,68207114
2020-05-01,183501,4730,United Kingdom,27454.0,700.0,,,79.63,68207114
2020-05-02,186731,3230,United Kingdom,28039.0,585.0,,,79.63,68207114
2020-05-03,189708,2977,United Kingdom,28292.0,253.0,,,79.63,68207114
2020-05-04,193091,3383,United Kingdom,28565.0,273.0,,,79.63,68207114
2020-05-05,196780,3689,United Kingdom,29290.0,725.0,,,79.63,68207114
2020-05-06,200616,3836,United Kingdom,29937.0,647.0,,,79.63,68207114
2020-05-07,204387,3771,United Kingdom,30395.0,458.0,,,79.63,68207114
2020-05-08,207439,3052,United Kingdom,30975.0,580.0,,,79.63,68207114
2020-05-09,209589,2150,United Kingdom,31250.0,275.0,,,79.63,68207114
2020-05-10,211911,2322,United Kingdom,31467.0,217.0,,,79.63,68207114
2020-05-11,215500,3589,United Kingdom,31655.0,188.0,,,77.78,68207114
2020-05-12,218895,3395,United Kingdom,32270.0,615.0,,,77.78,68207114
2020-05-13,222195,3300,United Kingdom,32718.0,448.0,,,71.3,68207114
2020-05-14,224813,2618,United Kingdom,33071.0,353.0,,,71.3,68207114
2020-05-15,227334,2521,United Kingdom,33422.0,351.0,,,71.3,68207114
2020-05-16,229406,2072,United Kingdom,33833.0,411.0,,,71.3,68207114
2020-05-17,231232,1826,United Kingdom,33900.0,67.0,,,71.3,68207114
2020-05-18,233809,2577,United Kingdom,34046.0,146.0,,,71.3,68207114
2020-05-19,236867,3058,United Kingdom,34547.0,501.0,,,71.3,68207114
2020-05-20,239579,2712,United Kingdom,34876.0,329.0,,,71.3,68207114
2020-05-21,242133,2554,United Kingdom,35149.0,273.0,,,71.3,68207114
2020-05-22,244174,2041,United Kingdom,35440.0,291.0,,,71.3,68207114
2020-05-23,245682,1508,United Kingdom,35660.0,220.0,,,71.3,68207114
2020-05-24,247037,1355,United Kingdom,36039.0,379.0,,,71.3,68207114
2020-05-25,248650,1613,United Kingdom,36143.0,104.0,,,71.3,68207114
2020-05-26,250309,1659,United Kingdom,36274.0,131.0,,,71.3,68207114
2020-05-27,252118,1809,United Kingdom,36696.0,422.0,,,71.3,68207114
2020-05-28,253854,1736,United Kingdom,37039.0,343.0,,,71.3,68207114
2020-05-29,255362,1508,United Kingdom,37313.0,274.0,,,69.44,68207114
2020-05-30,256469,1107,United Kingdom,37467.0,154.0,,,69.44,68207114
2020-05-31,257539,1070,United Kingdom,37527.0,60.0,,,69.44,68207114
2020-06-01,258983,1444,United Kingdom,37613.0,86.0,,,67.59,68207114
2020-06-02,260453,1470,United Kingdom,37863.0,250.0,,,67.59,68207114
2020-06-03,261802,1349,United Kingdom,38117.0,254.0,,,67.59,68207114
2020-06-04,263040,1238,United Kingdom,38247.0,130.0,,,67.59,68207114
2020-06-05,264150,1110,United Kingdom,38505.0,258.0,,,67.59,68207114
2020-06-06,264944,794,United Kingdom,38648.0,143.0,,,67.59,68207114
2020-06-07,265662,718,United Kingdom,38702.0,54.0,,,67.59,68207114
2020-06-08,266756,1094,United Kingdom,38749.0,47.0,,,73.15,68207114
2020-06-09,267915,1159,United Kingdom,38946.0,197.0,,,73.15,68207114
