data,date,last_available_confirmed,last_available_deaths,incidencia_casos,incidencia_morte,ew
2020-03-05,2020-03-05,1,0,,,10
2020-03-06,2020-03-06,2,0,0.0,1.0,10
2020-03-07,2020-03-07,2,0,0.0,0.0,10
2020-03-08,2020-03-08,3,0,0.0,1.0,11
2020-03-09,2020-03-09,3,0,0.0,0.0,11
2020-03-10,2020-03-10,3,0,0.0,0.0,11
2020-03-11,2020-03-11,3,0,0.0,0.0,11
2020-03-12,2020-03-12,15,0,0.0,12.0,11
2020-03-13,2020-03-13,15,0,0.0,0.0,11
2020-03-14,2020-03-14,15,0,0.0,0.0,11
2020-03-15,2020-03-15,24,0,0.0,9.0,12
2020-03-16,2020-03-16,25,0,0.0,1.0,12
2020-03-17,2020-03-17,25,0,0.0,0.0,12
2020-03-18,2020-03-18,63,0,0.0,38.0,12
2020-03-19,2020-03-19,66,2,2.0,3.0,12
2020-03-20,2020-03-20,66,2,0.0,0.0,12
2020-03-21,2020-03-21,119,3,1.0,53.0,12
2020-03-22,2020-03-22,186,3,0.0,67.0,13
2020-03-23,2020-03-23,233,4,1.0,47.0,13
2020-03-24,2020-03-24,305,6,2.0,72.0,13
2020-03-25,2020-03-25,370,8,2.0,65.0,13
2020-03-26,2020-03-26,421,9,1.0,51.0,13
2020-03-27,2020-03-27,493,10,1.0,72.0,13
2020-03-28,2020-03-28,558,13,3.0,65.0,13
2020-03-29,2020-03-29,600,17,4.0,42.0,14
2020-03-30,2020-03-30,657,18,1.0,57.0,14
2020-03-31,2020-03-31,708,23,5.0,51.0,14
2020-04-01,2020-04-01,832,28,5.0,124.0,14
2020-04-02,2020-04-02,992,41,13.0,160.0,14
2020-04-03,2020-04-03,1074,47,6.0,82.0,14
2020-04-04,2020-04-04,1246,58,11.0,172.0,14
2020-04-05,2020-04-05,1394,64,6.0,148.0,15
2020-04-06,2020-04-06,1461,71,7.0,67.0,15
2020-04-07,2020-04-07,1688,89,18.0,227.0,15
2020-04-08,2020-04-08,1938,106,17.0,250.0,15
2020-04-09,2020-04-09,2216,122,16.0,278.0,15
2020-04-10,2020-04-10,2464,147,25.0,248.0,15
2020-04-11,2020-04-11,2607,155,8.0,143.0,15
2020-04-12,2020-04-12,2855,170,15.0,248.0,16
2020-04-13,2020-04-13,3221,182,12.0,366.0,16
2020-04-14,2020-04-14,3410,224,42.0,189.0,16
2020-04-15,2020-04-15,3743,265,41.0,333.0,16
2020-04-16,2020-04-16,3944,301,36.0,201.0,16
2020-04-17,2020-04-17,4349,341,40.0,405.0,16
2020-04-18,2020-04-18,4543,387,46.0,194.0,16
2020-04-19,2020-04-19,4675,402,15.0,132.0,17
2020-04-20,2020-04-20,4899,422,20.0,224.0,17
2020-04-21,2020-04-21,5306,459,37.0,407.0,17
2020-04-22,2020-04-22,5552,490,31.0,246.0,17
2020-04-23,2020-04-23,6172,530,40.0,620.0,17
2020-04-24,2020-04-24,6282,570,40.0,110.0,17
2020-04-25,2020-04-25,6828,615,45.0,546.0,17
2020-04-26,2020-04-26,7111,645,30.0,283.0,18
2020-04-27,2020-04-27,7944,677,32.0,833.0,18
2020-04-28,2020-04-28,8504,738,61.0,560.0,18
2020-04-29,2020-04-29,8869,794,56.0,365.0,18
2020-04-30,2020-04-30,9453,854,60.0,584.0,18
2020-05-01,2020-05-01,10166,921,67.0,713.0,18
2020-05-02,2020-05-02,10546,971,50.0,380.0,18
2020-05-03,2020-05-03,11139,1019,48.0,593.0,19
2020-05-04,2020-05-04,11721,1065,46.0,582.0,19
2020-05-05,2020-05-05,12391,1123,58.0,670.0,19
2020-05-06,2020-05-06,13295,1205,82.0,904.0,19
2020-05-07,2020-05-07,14156,1394,189.0,861.0,19
2020-05-08,2020-05-08,15741,1503,109.0,1585.0,19
2020-05-09,2020-05-09,16929,1653,150.0,1188.0,19
2020-05-10,2020-05-10,17062,1714,61.0,133.0,20
2020-05-11,2020-05-11,17939,1770,56.0,877.0,20
2020-05-12,2020-05-12,18486,1928,158.0,547.0,20
2020-05-13,2020-05-13,18728,2050,122.0,242.0,20
2020-05-14,2020-05-14,19467,2247,197.0,739.0,20
2020-05-15,2020-05-15,19987,2438,191.0,520.0,20
2020-05-16,2020-05-16,21601,2614,176.0,1614.0,20
2020-05-17,2020-05-17,22238,2715,101.0,637.0,21
2020-05-18,2020-05-18,26665,2852,137.0,4427.0,21
2020-05-19,2020-05-19,27805,3079,227.0,1140.0,21
2020-05-20,2020-05-20,30372,3237,158.0,2567.0,21
2020-05-21,2020-05-21,32089,3412,175.0,1717.0,21
2020-05-22,2020-05-22,33589,3657,245.0,1500.0,21
2020-05-23,2020-05-23,34533,3905,248.0,944.0,21
2020-05-24,2020-05-24,37912,3993,88.0,3379.0,22
2020-05-25,2020-05-25,39298,4105,112.0,1386.0,22
2020-05-26,2020-05-26,40024,4361,256.0,726.0,22
2020-05-27,2020-05-27,42398,4605,244.0,2374.0,22
2020-05-28,2020-05-28,44886,4856,251.0,2488.0,22
2020-05-29,2020-05-29,47946,5078,222.0,3060.0,22
2020-05-30,2020-05-30,52420,5277,199.0,4474.0,22
2020-05-31,2020-05-31,53388,5344,67.0,968.0,23
2020-06-01,2020-06-01,54530,5462,118.0,1142.0,23
2020-06-02,2020-06-02,56732,5686,224.0,2202.0,23
2020-06-03,2020-06-03,59240,6010,324.0,2508.0,23
2020-06-04,2020-06-04,60932,6327,317.0,1692.0,23
2020-06-05,2020-06-05,63066,6473,146.0,2134.0,23
2020-06-06,2020-06-06,64533,6639,166.0,1467.0,23
2020-06-07,2020-06-07,67756,6707,68.0,3223.0,24
2020-06-08,2020-06-08,69499,6781,74.0,1743.0,24
2020-06-09,2020-06-09,72979,6928,147.0,3480.0,24
2020-06-10,2020-06-10,74373,7138,210.0,1394.0,24
2020-06-11,2020-06-11,75775,7363,225.0,1402.0,24
2020-06-12,2020-06-12,77784,7417,54.0,2009.0,24
2020-06-13,2020-06-13,78836,7592,175.0,1052.0,24
2020-06-14,2020-06-14,79572,7672,80.0,736.0,25
2020-06-15,2020-06-15,80946,7728,56.0,1374.0,25
2020-06-16,2020-06-16,83343,7967,239.0,2397.0,25
2020-06-17,2020-06-17,83343,7967,0.0,0.0,25
